TITLE="mean" 
Variables="X","Y","Z","VX","VY","VZ"
ZONE T="0", I=289, J=214, SOLUTIONTIME=0
27.4915 -81.232 35.0 2039.74758759 -3688.79938939 46.1730097911
27.8249 -81.232 35.0 2028.1765966 -3665.21643644 27.0435786618
28.1583 -81.232 35.0 2033.30801802 -3675.44825826 26.6954963882
28.4918 -81.232 35.0 2022.02216216 -3652.97405405 22.9796583054
28.8252 -81.232 35.0 2035.38808809 -3681.60481481 35.2377856086
29.1586 -81.232 35.0 2043.06895896 -3697.19234234 48.8538929454
29.492 -81.232 35.0 2055.41670671 -3722.97295295 69.5456392163
29.8254 -81.232 35.0 2073.23237237 -3758.00173173 86.378151857
30.1588 -81.232 35.0 2087.87580581 -3786.66141141 103.250416913
30.4922 -81.232 35.0 2104.34196196 -3818.87467467 135.389217787
30.8257 -81.232 35.0 2115.8906006 -3842.70952953 147.794345964
31.1591 -81.232 35.0 2118.86485485 -3845.05782783 159.527552994
31.4925 -81.232 35.0 2123.01935936 -3856.27860861 153.25148371
31.8259 -81.232 35.0 2105.64354354 -3819.59614615 134.362561918
32.1593 -81.232 35.0 2086.83612613 -3783.30668669 98.2953728144
32.4927 -81.232 35.0 2069.7995996 -3750.04384384 90.444153462
32.8261 -81.232 35.0 2070.34960961 -3750.57396396 85.5534241155
33.1596 -81.232 35.0 2095.31972973 -3798.90456456 126.103441604
33.493 -81.232 35.0 2095.16437437 -3798.27094094 135.641420158
33.8264 -81.232 35.0 2128.95131131 -3863.7413013 194.539294202
34.1598 -81.232 35.0 2134.86353353 -3878.19301301 202.353668904
34.4932 -81.232 35.0 2181.6728028 -3973.65986987 265.574884392
34.8266 -81.232 35.0 2175.90705706 -3961.8968969 256.320647761
35.16 -81.232 35.0 2198.95762763 -4005.14745746 283.628794438
35.4934 -81.232 35.0 2209.2883984 -4027.21824825 295.33516447
35.8269 -81.232 35.0 2186.63394394 -3981.92553554 269.959466977
36.1603 -81.232 35.0 2170.58880881 -3948.78082082 245.704818673
36.4937 -81.232 35.0 2153.35516517 -3915.05167167 230.727872387
36.8271 -81.232 35.0 2139.70941942 -3887.01194194 200.908961078
37.1605 -81.232 35.0 2161.19141141 -3931.17967968 231.178700753
37.4939 -81.232 35.0 2171.52711712 -3950.22155155 243.892234184
37.8273 -81.232 35.0 2201.04251251 -4006.40855856 294.250456098
38.1608 -81.232 35.0 2218.344004 -4044.76607608 311.696471936
38.4942 -81.232 35.0 2246.91510511 -4101.38926927 353.714643262
38.8276 -81.232 35.0 2249.31276276 -4105.30419419 353.508773779
39.161 -81.232 35.0 2245.07538539 -4095.55526527 360.680303632
39.4944 -81.232 35.0 2243.73343343 -4097.32445445 348.287782124
39.8278 -81.232 35.0 2221.65527528 -4055.54409409 317.220867238
40.1612 -81.232 35.0 2208.57238238 -4029.15288288 290.6425854
40.4947 -81.232 35.0 2182.52114114 -3975.76367367 259.191669462
40.8281 -81.232 35.0 2167.57767768 -3944.87013013 237.599945769
41.1615 -81.232 35.0 2155.07918919 -3918.22655656 229.69127048
41.4949 -81.232 35.0 2161.03666667 -3929.34745746 236.783675731
41.8283 -81.232 35.0 2174.15614615 -3956.66911912 263.935901346
42.1617 -81.232 35.0 2198.47394394 -4005.69993994 284.539092717
42.4951 -81.232 35.0 2196.83001001 -4003.53900901 287.550127374
42.8286 -81.232 35.0 2209.39269269 -4030.25321321 303.165917855
43.162 -81.232 35.0 2187.44625626 -3987.14540541 280.86686888
43.4954 -81.232 35.0 2165.41056056 -3941.96786787 243.040464584
43.8288 -81.232 35.0 2128.4958959 -3864.49075075 182.7770108
44.1622 -81.232 35.0 2086.29701702 -3778.27082082 118.142422205
44.4956 -81.232 35.0 2049.30004004 -3706.36341341 66.3270945289
44.829 -81.232 35.0 2020.66533534 -3649.80354354 19.8374754637
45.1624 -81.232 35.0 1997.30041041 -3603.46022022 -8.42814158478
45.4959 -81.232 35.0 1988.34641642 -3583.73154154 -28.2527907618
45.8293 -81.232 35.0 1983.93631632 -3574.5409009 -31.7577106415
46.1627 -81.232 35.0 1985.72794795 -3578.32271271 -37.5476905313
46.4961 -81.232 35.0 1985.6023023 -3578.28708709 -37.7426241966
46.8295 -81.232 35.0 1984.85231231 -3576.74133133 -37.2078061272
47.1629 -81.232 35.0 1978.09528529 -3562.13577578 -29.8491717047
47.4963 -81.232 35.0 1973.32585586 -3551.66108108 -24.5543020224
47.8298 -81.232 35.0 1969.45237237 -3543.14045045 -20.3481397664
48.1632 -81.232 35.0 1968.62822823 -3541.77770771 -19.7279479295
48.4966 -81.232 35.0 1968.14776777 -3540.7467968 -19.0074505231
-47.5266 -80.5339 35.0 5213.98954955 -10448.2090691 0.816733887187
-47.1932 -80.5339 35.0 5227.26575576 -10459.5788889 7.26846943644
-46.8598 -80.5339 35.0 5211.97870871 -10446.3552252 -0.737548595896
-46.5263 -80.5339 35.0 5204.08593594 -10451.5665666 -22.9786412166
-46.1929 -80.5339 35.0 5189.42181181 -10409.3759259 -3.02361732432
-45.8595 -80.5339 35.0 5085.37118118 -10132.3736537 166.464511488
-45.5261 -80.5339 35.0 4925.303003 -9714.51926927 410.156848609
-45.1927 -80.5339 35.0 4742.84498498 -9260.10912913 674.522930811
-44.8593 -80.5339 35.0 4643.5173974 -9012.29412412 804.243494494
-44.5259 -80.5339 35.0 4609.25885886 -8925.64369369 844.55736036
-44.1924 -80.5339 35.0 4590.78422422 -8883.29855856 862.441051051
-43.859 -80.5339 35.0 4578.5287988 -8855.66520521 882.235085085
-43.5256 -80.5339 35.0 4567.07692693 -8827.97434434 906.187796797
-43.1922 -80.5339 35.0 4560.07155155 -8813.85838839 922.102015015
-42.8588 -80.5339 35.0 4547.33540541 -8796.8732032 923.530163163
-42.5254 -80.5339 35.0 4515.32107107 -8740.52563564 952.165547548
-42.192 -80.5339 35.0 4446.32771772 -8598.85695696 1038.91856757
-41.8586 -80.5339 35.0 4396.9263964 -8484.72947948 1119.05339439
-41.5251 -80.5339 35.0 4393.47173173 -8463.6796997 1134.7440961
-41.1917 -80.5339 35.0 4401.52189189 -8465.53382382 1134.9512983
-40.8583 -80.5339 35.0 4392.44983984 -8443.8060961 1136.81615315
-40.5249 -80.5339 35.0 4367.30867868 -8391.81018018 1159.7758028
-40.1915 -80.5339 35.0 4354.12324324 -8366.26024024 1163.36841542
-39.8581 -80.5339 35.0 4342.67265265 -8341.52014014 1178.26305806
-39.5247 -80.5339 35.0 4344.55036036 -8346.39341341 1182.06610511
-39.1912 -80.5339 35.0 4341.71305305 -8340.00938939 1193.16697798
-38.8578 -80.5339 35.0 4338.72454454 -8333.72828829 1185.19986887
-38.5244 -80.5339 35.0 4329.9706006 -8315.24326326 1187.77736637
-38.191 -80.5339 35.0 4332.38084084 -8320.39592593 1184.42715616
-37.8576 -80.5339 35.0 4333.27332332 -8321.45685686 1194.62853053
-37.5242 -80.5339 35.0 4342.14 -8344.00156156 1184.97590891
-37.1908 -80.5339 35.0 4342.10176176 -8346.58517518 1187.81831832
-36.8573 -80.5339 35.0 4348.14892893 -8363.24987988 1173.90874675
-36.5239 -80.5339 35.0 4341.94928929 -8350.3284985 1178.03511311
-36.1905 -80.5339 35.0 4339.70902903 -8346.28017017 1169.46664565
-35.8571 -80.5339 35.0 4331.39740741 -8327.43723724 1179.25357958
-35.5237 -80.5339 35.0 4342.72055055 -8352.02062062 1171.18953754
-35.1903 -80.5339 35.0 4347.35694695 -8362.84253253 1176.69382883
-34.8569 -80.5339 35.0 4344.38148148 -8360.37768769 1174.3513013
-34.5234 -80.5339 35.0 4334.24203203 -8339.88876877 1186.58474875
-34.19 -80.5339 35.0 4334.3987988 -8341.5276977 1185.61275075
